Testcase,Algorithm,Repeats,Min_value,Mean_value,Max_value,Time_per_iter
1,ReducedVNS,30,3200.0,3816.6666666666665,3900.0,0.002153905232747396
2,ReducedVNS,30,6589.400000000001,8805.403333333332,10059.900000000001,0.018072311083475748
3,ReducedVNS,30,3140.0,3830.1666666666665,4260.0,0.1780798355738322
4,ReducedVNS,30,3895.0,5153.5,6230.0,0.8306264321009318
5,ReducedVNS,30,8695.0,10877.833333333334,12290.0,5.694917146364848
6,ReducedVNS,30,100822.0,123888.16666666667,142080.0,5.64837646484375
7,ReducedVNS,30,2373.0,2761.6,3165.0,17.530216511090597
8,ReducedVNS,30,8267.0,9596.9,10609.0,46.00353019237518
